Part Number,Part Name,Rule Number,Title,Content
7,APPEALS FROM ORIGINAL DECREES,96,Appeal from original decree,". Save where otherwise expressly provided in the body of this Code or by any other law for the time being in force, an appeal shall lie from every decree passed by any Court exercising original jurisdiction to the Court authorized to hear appeal from the decisions of such Court. (2) An appeal may lie from an original decree passed ex-parte. (3) No appeal shall lie from a decree passed by the Court with consent of the parties.]"
7,APPEALS FROM ORIGINAL DECREES,97,Appeal from final decree where no appeal from preliminary decree.,"Where any party aggrieved by a preliminary decree passed after the commencement of this Code does not appeal from such decree, he shall be precluded from disputing its correctness in any appeal which may be preferred from the final decree."
7,APPEALS FROM ORIGINAL DECREES,98,Decision where appeal heard by two or more Judges.,"(l) where an appeal is heard by a Bench of two or more Judges, the appeal shall be decided in accordance with the opinion of such Judges or of the majority (if any) of such Judges. (2) Where there is no such majority which concurs in a judgment varying or reversing the decree appealed from, such decree shall be confirmed : Provided that where the Bench hearing the appeal is composed of two judges belonging to a Court consisting of more than two Judges, and the Judges composing the Bench differ in opinion on a point of law, they may state the point of law upon which they differ and the appeal shall then be heard upon that point only by one or more of the other Judges, and such point shall be decided according to the opinion of the majority (if any) of the Judges who have heard the appeal, including those who first heard it. 3[(3) Nothing in this section shall be deemed to alter or otherwise affect any provision of the letters patent of any High Court.]"
7,APPEALS FROM ORIGINAL DECREES,99,No decree to be reversed or modified for error or irregularity not affecting merits or jurisdiction.,"No decree shall be reversed or substantially varied, nor shall any case be remanded, in appeal on account of any misjoinder of parties or causes of action or any error, defect or irregularity in any proceedings in the suit, not affecting the merits of the case or the jurisdiction of the Court. APPEALS FROM APPEALATE DECREES"
7,APPEALS FROM ORIGINAL DECREES,100,Second appeal.,"(1) Save where otherwise expressly provided in the body of this Code or in any other law, for the time being in force, an appeal shall lie to the High Court from every decree passed in appeal by any Court subordinate to that High Court, on any of the following grounds, namely: (a) the decision being contrary to law or to some usage having the force of law; (b) the decision having failed to determine some material issue of law or usage having the force of law; or (c) a substantial error or defect in the procedure provided by this Code or by any other law for the time being in force, which may possibly have produced error or defect in the decision of the case upon the merits."
7,APPEALS FROM ORIGINAL DECREES,101,Second appeal on no other grounds.,No second appeal shall lie except on the grounds mentioned in section
7,APPEALS FROM ORIGINAL DECREES,100,102. No second appeal in certain cases.,No second appeal shall lie in any suit except when the amount or value of the subject matter of the original suit does not exceed the amount or value as may be prescribed.
7,APPEALS FROM ORIGINAL DECREES,103,Power of High Court to determine issues of fact.,"In any second appeal, the High Court may, if the evidence on the record is sufficient, determine any issue of fact necessary for disposal of the appeal which has not been determined by the lower appellate Court or which has been wrongly determined by such Court by reason of any illegality, omission, error or defect such as is referred to in sub-section (1) of section"
7,APPEALS FROM ORIGINAL DECREES,100,APPEALS FROM ORDERS 104. Orders from which appeal lies.,"(1) An appeal shall lie from the following orders, and save as otherwise expressly provided in the body of this Code or by any law for the time being in force, from no other orders: 2[* * * * * * *] 3[(f) an order under section 35A; (ff) an order under section 47;] 4[(fff) an order under section 91 or section 92 refusing leave to institute a suit;]"
7,APPEALS FROM ORIGINAL DECREES,105,Other orders,". (1) Save as otherwise expressly provided, no appeal shall lie from any order made by a Court in the exercise of its original or appellate jurisdiction; but, where a decree is appealed from, any error, defect or irregularity in any order, affecting the decision of the case, may be set forth as a ground of objection in the memorandum of appeal. (2) Notwithstanding anything contained in sub-section (1), where any party aggrieved by an order of remand made after the commencement of this Code from which an appeal lies does not appeal therefrom, he shall thereafter be precluded from disputing its correctness."
7,APPEALS FROM ORIGINAL DECREES,106,What Courts to hear appeals.,"Where an appeal from any order is allowed, it shall lie to the Court to which an appeal would lie from the decree in the suit in which such order was made, or where such order is made by a Court (not being a High Court) in the exercise of appellate jurisdiction, then to the High Court.] GENERAL PROVISIONS RELATING TO APPEALS"
7,APPEALS FROM ORIGINAL DECREES,107,Powers of Appellate Court.,"(1) Subject to such conditions and limitations as may be prescribed, an Appellate Court shall have power (a) to determine a case finally; (b) to remand a case; (c) to frame issues and refer them for trial; (d) to take additional evidence or to require such evidence to be taken. (2) Subject as aforesaid, the Appellate Court shall have the same powers and shall perform as nearly as may be the same duties as are conferred and imposed by this Code on Courts of original jurisdiction in respect of suits instituted therein."
7,APPEALS FROM ORIGINAL DECREES,108,Procedure in appeals from appellate decrees and orders.,"The provisions of this Part relating to appeals from original decrees shall, so far as may be, apply to appeals (a) from appellate decrees, and (b) from orders made under this Code or under any special or local law in which a different procedure is not provided. Page 46 of 318"
7,APPEALS FROM ORIGINAL DECREES,109,"When appeals, lie to the Supreme Court.","An appeal from a judgment, decree or final order of a High Court shall lie to the Supreme Court (a) if the amount or value or the subject-matter of the dispute in the Court of first instance was and also in appeal is (unless varied by an Act of Parliament) fifty thousand rupees or upward and the judgment, decree or final order appealed from has varied or set aside the judgment, decree or final order of the Court immediately below; or (b) if the judgment, decree or final order involves, directly or indirectly, some claim or question respecting property of the like amount or value and the judgment, decree or final order appealed from has varied or set aside the judgment, decree or final order of the Court immediately below; or (c) if the High Court certifies that the case involves a substantial question of law as to the interpretation of the Constitution.]"
7,APPEALS FROM ORIGINAL DECREES,110,,[ Omitted ] .
7,APPEALS FROM ORIGINAL DECREES,111,Bar of certain appeals,". Notwithstanding anything contained in section 109, no appeal shall lie to 5[the Supreme Court]: (a) from the decree or order of one Judge of a High Court 6[* * *], or of one Judge of a Division Court, or of two or more Judges of such High Court, or of a Division Court constituted by two or more Judges of such High Court, where such Judges are equally divided in opinion and do not amount in number to a majority of the whole of the Judges of the High Court at the time being ; or 7[(b) from any decree from which, under section 102, no second appeal lies.] 8111A. [ Omitted ]."
7,APPEALS FROM ORIGINAL DECREES,112,Savings.,"9 [(1) Nothing contained in this Code shall be deemed (a) to affect the powers of the Supreme Court under Article 10[191 of the Constitution or any other provision thereof] ; or (b) to interfere with any rules made by the Supreme Court, and for the time being in force, for the presentation of appeals to that Court, or their conduct before that Court.] (2) Nothing herein contained applies to any matter of criminal or admiralty or vice-admiralty"
